timestamp,raw_angle,smoothed_angle
2026-08-23T17:56:54.681,89.000,89.000
2026-08-23T17:57:07.417,70.000,70.000
2026-08-23T17:57:07.646,52.000,52.000
2026-08-23T17:57:07.870,30.000,30.000
2026-08-23T17:57:08.222,5.000,5.000
2026-08-23T17:57:08.342,0.000,0.000
2026-08-23T17:57:08.422,16.000,16.000
2026-08-23T17:57:08.478,66.000,66.000
2026-08-23T17:57:08.558,89.000,89.000
2026-08-23T17:57:11.832,77.000,77.000
2026-08-23T17:57:11.894,69.000,69.000
2026-08-23T17:57:11.938,52.000,52.000
2026-08-23T17:57:12.016,41.000,41.000
2026-08-23T17:57:12.078,22.000,22.000
2026-08-23T17:57:12.160,18.000,18.000
2026-08-23T17:57:12.228,13.000,13.000
2026-08-23T17:57:12.330,0.000,0.000
2026-08-23T17:57:12.433,7.000,7.000
2026-08-23T17:57:12.493,14.000,14.000
2026-08-23T17:57:12.552,25.000,25.000
2026-08-23T17:57:12.638,43.000,43.000
2026-08-23T17:57:12.707,69.000,69.000
2026-08-23T17:57:12.783,90.000,90.000
2026-08-23T17:57:13.503,87.000,87.000
2026-08-23T17:57:13.567,79.000,79.000
2026-08-23T17:57:13.662,74.000,74.000
2026-08-23T17:57:13.740,67.000,67.000
2026-08-23T17:57:13.817,60.000,60.000
2026-08-23T17:57:13.890,54.000,54.000
2026-08-23T17:57:13.953,50.000,50.000
2026-08-23T17:57:14.020,47.000,47.000
2026-08-23T17:57:14.101,44.000,44.000
2026-08-23T17:57:14.154,38.000,38.000
2026-08-23T17:57:14.219,35.000,35.000
2026-08-23T17:57:14.294,26.000,26.000
2026-08-23T17:57:14.363,23.000,23.000
2026-08-23T17:57:14.446,18.000,18.000
2026-08-23T17:57:14.509,15.000,15.000
2026-08-23T17:57:14.577,19.000,19.000
2026-08-23T17:57:14.642,15.000,15.000
2026-08-23T17:57:14.716,21.000,21.000
2026-08-23T17:57:14.773,33.000,33.000
2026-08-23T17:57:14.855,55.000,55.000
2026-08-23T17:57:14.913,71.000,71.000
2026-08-23T17:57:15.001,89.000,89.000
2026-08-23T17:57:15.173,84.000,84.000
2026-08-23T17:57:15.226,78.000,78.000
2026-08-23T17:57:15.310,67.000,67.000
2026-08-23T17:57:15.393,52.000,52.000
2026-08-23T17:57:15.478,36.000,36.000
2026-08-23T17:57:15.545,26.000,26.000
2026-08-23T17:57:15.628,17.000,17.000
2026-08-23T17:57:15.688,11.000,11.000
2026-08-23T17:57:15.768,8.000,8.000
2026-08-23T17:57:15.831,5.000,5.000
2026-08-23T17:57:15.918,1.000,1.000
2026-08-23T17:57:15.995,15.000,15.000
2026-08-23T17:57:16.081,36.000,36.000
2026-08-23T17:57:16.151,53.000,53.000
2026-08-23T17:57:16.223,73.000,73.000
2026-08-23T17:57:16.290,86.000,86.000
2026-08-23T17:57:16.365,90.000,90.000
2026-08-23T17:57:17.311,109.000,109.000
2026-08-23T17:57:17.388,126.000,126.000
2026-08-23T17:57:17.465,146.000,146.000
2026-08-23T17:57:17.551,161.000,161.000
2026-08-23T17:57:17.628,178.000,178.000
2026-08-23T17:57:18.193,155.000,155.000
2026-08-23T17:57:18.246,106.000,106.000
2026-08-23T17:57:18.324,89.000,89.000
2026-08-23T17:57:19.099,77.000,77.000
